,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
264,3.2188758248682006,5,1,2.449489742783178,0,1,Dresses
266,3.9889840465642745,5,1,0.0,0,1,Dresses
267,3.332204510175204,4,1,0.0,1,3,Others
268,3.258096538021482,4,1,0.0,0,4,Knits
270,4.110873864173311,3,1,0.0,0,4,Knits
271,3.8066624897703196,5,1,1.0,1,3,Others
272,3.6635616461296463,5,1,2.6457513110645907,1,3,Others
273,3.58351893845611,5,1,0.0,0,1,Dresses
274,3.713572066704308,5,1,3.3166247903554,0,4,Knits
275,3.6109179126442243,5,1,0.0,1,4,Knits
276,4.007333185232471,5,1,0.0,0,4,Knits
277,4.418840607796598,5,1,1.0,0,4,Knits
278,3.5553480614894135,3,1,1.4142135623730951,0,4,Knits
280,3.5553480614894135,5,1,0.0,1,3,Others
283,3.713572066704308,5,1,1.0,0,4,Knits
284,4.23410650459726,4,1,0.0,0,4,Knits
285,3.58351893845611,5,1,0.0,0,1,Dresses
288,3.828641396489095,2,0,0.0,0,4,Knits
289,4.007333185232471,5,1,0.0,1,3,Others
290,3.58351893845611,5,1,1.4142135623730951,1,3,Others
292,4.174387269895637,5,1,0.0,0,0,Others
293,4.219507705176107,3,1,4.0,1,3,Others
294,3.7612001156935624,5,1,1.7320508075688772,1,3,Others
296,3.6888794541139363,5,1,0.0,0,0,Others
297,3.8501476017100584,5,1,0.0,1,3,Others
299,3.5263605246161616,5,1,0.0,1,3,Others
301,3.6375861597263857,5,1,0.0,1,3,Others
303,3.713572066704308,5,1,0.0,0,1,Dresses
304,3.58351893845611,3,1,1.4142135623730951,0,3,Others
305,3.8501476017100584,5,1,0.0,1,3,Others
306,4.143134726391533,5,1,0.0,0,1,Dresses
307,3.5553480614894135,5,1,0.0,0,4,Blouses
308,3.5553480614894135,4,1,1.4142135623730951,1,3,Others
309,4.02535169073515,5,1,0.0,0,1,Dresses
310,3.713572066704308,5,1,0.0,0,4,Blouses
311,3.6109179126442243,3,0,2.449489742783178,1,1,Dresses
312,3.5263605246161616,3,0,0.0,1,4,Blouses
313,3.4657359027997265,4,1,2.0,0,4,Blouses
314,4.0943445622221,3,0,1.7320508075688772,0,4,Blouses
315,3.044522437723423,5,1,2.8284271247461903,0,4,Blouses
316,4.07753744390572,5,1,0.0,0,4,Blouses
317,3.970291913552122,5,1,2.0,1,4,Blouses
318,3.295836866004329,5,1,1.4142135623730951,1,4,Sweaters
319,4.127134385045092,5,1,2.6457513110645907,0,4,Others
321,3.912023005428146,5,1,1.7320508075688772,0,4,Blouses
322,3.9889840465642745,5,1,3.605551275463989,1,4,Blouses
324,3.713572066704308,5,1,0.0,0,0,Pants
325,3.7612001156935624,2,0,0.0,1,4,Blouses
326,3.7612001156935624,5,1,1.0,0,4,Blouses
327,3.1354942159291497,4,1,0.0,0,4,Blouses
329,3.9318256327243257,5,1,0.0,0,4,Blouses
330,3.713572066704308,3,0,0.0,1,4,Blouses
331,3.8918202981106265,4,1,1.4142135623730951,0,1,Dresses
332,3.828641396489095,5,1,2.23606797749979,0,4,Knits
333,3.367295829986474,5,1,2.449489742783178,0,4,Others
334,3.970291913552122,1,0,4.123105625617661,1,4,Blouses
335,4.189654742026425,5,1,2.449489742783178,0,4,Others
337,4.30406509320417,5,1,3.0,1,1,Dresses
338,4.143134726391533,5,1,0.0,0,4,Blouses
339,3.713572066704308,5,1,0.0,1,4,Blouses
340,3.6888794541139363,4,1,0.0,1,4,Blouses
341,3.6888794541139363,5,1,0.0,0,4,Blouses
343,3.8918202981106265,5,1,1.7320508075688772,0,4,Others
346,4.248495242049359,5,1,1.0,0,4,Others
347,3.4011973816621555,5,1,1.0,0,4,Others
348,3.8501476017100584,5,1,0.0,1,4,Blouses
349,3.295836866004329,3,0,3.872983346207417,0,4,Blouses
350,3.58351893845611,2,0,0.0,1,4,Blouses
351,4.23410650459726,4,1,2.6457513110645907,1,4,Blouses
352,3.9512437185814275,5,1,1.0,1,4,Blouses
353,3.4657359027997265,2,0,0.0,1,4,Sweaters
354,3.6109179126442243,5,1,2.0,0,4,Others
356,3.7376696182833684,1,0,2.449489742783178,0,4,Blouses
357,3.9318256327243257,5,1,1.4142135623730951,0,4,Others
358,3.5263605246161616,3,0,0.0,1,4,Knits
359,3.6109179126442243,3,1,1.7320508075688772,0,4,Blouses
360,3.912023005428146,4,1,4.123105625617661,1,4,Sweaters
361,3.58351893845611,5,1,0.0,1,4,Others
362,4.174387269895637,3,0,0.0,0,4,Blouses
363,4.0943445622221,5,1,1.0,2,2,Others
364,3.828641396489095,5,1,0.0,1,4,Others
365,3.6375861597263857,4,1,0.0,0,4,Knits
366,3.6109179126442243,5,1,1.0,0,4,Knits
367,3.828641396489095,5,1,2.0,1,4,Blouses
369,3.6635616461296463,5,1,0.0,1,4,Others
371,4.1588830833596715,5,1,2.0,1,4,Others
372,4.04305126783455,5,1,1.0,1,4,Others
373,3.784189633918261,5,1,1.4142135623730951,1,4,Others
374,3.784189633918261,5,1,2.449489742783178,0,4,Blouses
375,3.258096538021482,4,1,0.0,0,4,Knits
376,3.6109179126442243,3,0,0.0,0,4,Knits
377,3.871201010907891,5,1,0.0,0,0,Pants
379,4.204692619390966,5,1,0.0,1,1,Dresses
380,3.1780538303479458,4,1,1.0,1,1,Dresses
381,4.07753744390572,3,0,3.605551275463989,0,1,Dresses
382,3.8501476017100584,4,1,0.0,1,2,Others
383,3.7376696182833684,3,1,0.0,0,1,Dresses
384,3.367295829986474,5,1,0.0,0,4,Sweaters
385,3.9889840465642745,4,1,1.7320508075688772,0,4,Others
386,3.713572066704308,2,0,3.3166247903554,0,0,Others
387,4.127134385045092,5,1,3.0,0,4,Sweaters
388,3.367295829986474,4,1,0.0,1,2,Others
389,3.6375861597263857,1,0,4.47213595499958,0,1,Dresses
390,3.2188758248682006,4,1,3.0,0,1,Dresses
391,3.4965075614664802,5,1,1.0,0,4,Sweaters
392,3.5263605246161616,3,1,0.0,2,2,Others
393,3.970291913552122,4,1,1.7320508075688772,1,1,Dresses
394,3.828641396489095,3,1,0.0,1,2,Others
395,3.4965075614664802,3,0,1.0,0,4,Sweaters
396,3.6888794541139363,3,0,1.4142135623730951,1,2,Others
397,3.4657359027997265,5,1,0.0,0,0,Others
398,3.6375861597263857,4,1,2.449489742783178,0,4,Others
399,4.127134385045092,5,1,3.3166247903554,0,0,Others
401,3.5263605246161616,5,1,0.0,1,1,Dresses
404,4.060443010546419,5,1,1.7320508075688772,0,4,Others
405,3.6888794541139363,5,1,1.0,0,1,Dresses
406,3.091042453358316,3,0,1.7320508075688772,0,1,Dresses
407,4.007333185232471,5,1,1.0,0,4,Sweaters
408,4.189654742026425,4,1,0.0,0,0,Others
409,3.6635616461296463,5,1,0.0,0,4,Sweaters
410,3.4011973816621555,5,1,1.0,0,1,Dresses
411,3.970291913552122,5,1,1.7320508075688772,0,1,Dresses
412,3.1354942159291497,5,1,2.449489742783178,0,1,Dresses
414,3.9318256327243257,5,1,0.0,1,2,Others
415,3.6109179126442243,4,1,1.4142135623730951,0,1,Dresses
416,3.5553480614894135,5,1,3.7416573867739413,0,4,Knits
417,3.5553480614894135,2,0,1.4142135623730951,0,1,Dresses
418,3.6888794541139363,5,1,0.0,0,4,Blouses
419,3.4657359027997265,3,1,1.0,0,1,Dresses
420,4.219507705176107,5,1,1.4142135623730951,0,1,Dresses
422,3.6109179126442243,5,1,1.4142135623730951,0,3,Others
423,3.6635616461296463,3,1,1.0,1,1,Dresses
424,3.091042453358316,4,1,1.0,0,4,Knits
426,3.4965075614664802,4,1,0.0,0,4,Blouses
427,3.4965075614664802,5,1,0.0,0,3,Others
430,3.9318256327243257,5,1,0.0,0,4,Blouses
431,4.02535169073515,5,1,1.0,0,3,Others
432,3.6375861597263857,4,1,1.4142135623730951,0,4,Blouses
433,3.5553480614894135,4,1,0.0,0,4,Blouses
434,3.871201010907891,4,1,4.358898943540674,0,4,Knits
436,3.6375861597263857,4,1,1.0,2,2,Others
437,4.060443010546419,5,1,2.0,0,3,Others
438,4.143134726391533,5,1,1.0,0,0,Others
439,3.6888794541139363,5,1,2.23606797749979,0,3,Others
440,3.713572066704308,4,0,0.0,0,1,Dresses
441,4.0943445622221,4,1,1.0,0,4,Knits
442,4.0943445622221,5,1,1.0,0,4,Knits
443,3.871201010907891,4,1,2.449489742783178,0,4,Blouses
444,4.248495242049359,4,1,0.0,0,4,Knits
445,3.295836866004329,5,1,0.0,0,3,Others
447,3.258096538021482,3,0,1.7320508075688772,0,4,Knits
448,3.9318256327243257,5,1,1.0,0,4,Knits
449,3.871201010907891,5,1,0.0,0,4,Knits
450,3.4011973816621555,2,0,0.0,0,1,Dresses
451,4.02535169073515,4,1,1.0,0,3,Others
452,3.295836866004329,5,1,1.4142135623730951,0,4,Knits
453,3.784189633918261,5,1,1.0,0,3,Others
454,3.6635616461296463,5,1,1.4142135623730951,0,4,Knits
456,3.4965075614664802,4,1,0.0,2,2,Others
457,4.0943445622221,4,1,0.0,0,4,Blouses
458,3.784189633918261,4,1,0.0,0,4,Blouses
461,3.9512437185814275,5,1,2.23606797749979,1,4,Blouses
462,3.1354942159291497,3,0,1.0,1,4,Blouses
463,4.23410650459726,4,1,1.0,2,2,Others
464,3.871201010907891,5,1,0.0,0,4,Blouses
465,3.5553480614894135,5,1,2.449489742783178,0,4,Knits
467,4.110873864173311,5,1,1.0,0,1,Dresses
468,3.8066624897703196,5,1,0.0,1,4,Blouses
469,3.2188758248682006,5,1,1.0,0,1,Dresses
470,3.4965075614664802,3,0,0.0,0,1,Dresses
471,3.6888794541139363,4,1,0.0,0,3,Others
472,4.219507705176107,5,1,1.7320508075688772,1,4,Blouses
473,3.4011973816621555,5,1,0.0,2,2,Others
474,2.995732273553991,5,1,1.0,0,1,Dresses
475,3.7376696182833684,2,0,1.4142135623730951,0,4,Knits
476,3.9512437185814275,5,1,1.0,0,1,Dresses
477,3.7376696182833684,5,1,1.4142135623730951,0,3,Others
478,3.1780538303479458,4,1,0.0,0,0,Others
479,3.7612001156935624,4,1,0.0,1,4,Blouses
480,3.9318256327243257,3,0,0.0,0,1,Dresses
481,3.6635616461296463,5,1,1.0,1,4,Blouses
482,3.6635616461296463,5,1,0.0,0,1,Dresses
484,4.04305126783455,4,1,0.0,1,4,Blouses
485,3.5553480614894135,4,1,0.0,1,4,Knits
486,3.828641396489095,5,1,1.0,0,1,Dresses
487,3.9318256327243257,5,1,2.0,1,4,Blouses
489,4.007333185232471,5,1,0.0,0,4,Blouses
490,3.7376696182833684,5,1,0.0,0,4,Blouses
491,3.6888794541139363,4,1,0.0,0,3,Others
492,3.4339872044851463,4,1,2.0,0,1,Dresses
494,4.07753744390572,5,1,3.1622776601683795,0,1,Dresses
495,3.970291913552122,4,1,0.0,0,4,Blouses
496,3.713572066704308,5,1,1.0,1,4,Blouses
498,3.4965075614664802,3,0,0.0,1,4,Blouses
499,3.58351893845611,2,0,1.0,0,1,Dresses
500,3.367295829986474,3,1,3.872983346207417,1,4,Blouses
501,3.8918202981106265,4,1,1.4142135623730951,1,4,Blouses
502,3.6635616461296463,5,1,0.0,0,1,Dresses
503,3.6888794541139363,2,1,0.0,1,4,Sweaters
504,4.04305126783455,5,1,0.0,1,4,Blouses
506,3.9318256327243257,3,1,3.3166247903554,0,1,Dresses
507,4.060443010546419,5,1,2.6457513110645907,1,4,Blouses
508,4.204692619390966,4,1,0.0,0,1,Dresses
509,3.58351893845611,5,1,2.8284271247461903,0,1,Dresses
510,3.295836866004329,5,1,2.0,1,4,Blouses
511,4.0943445622221,2,0,1.4142135623730951,1,4,Sweaters
512,3.8918202981106265,5,1,1.7320508075688772,0,1,Dresses
513,3.8918202981106265,3,1,2.6457513110645907,1,4,Blouses
514,3.5553480614894135,5,1,1.7320508075688772,1,1,Dresses
515,4.0943445622221,5,1,1.7320508075688772,0,4,Blouses
516,3.970291913552122,5,1,1.0,1,1,Dresses
517,3.6375861597263857,4,1,5.385164807134504,1,4,Blouses
518,3.871201010907891,2,0,0.0,1,4,Blouses
520,3.7376696182833684,5,1,0.0,0,3,Others
522,3.713572066704308,5,1,2.0,0,1,Dresses
524,3.258096538021482,5,1,2.0,0,1,Dresses
525,3.2188758248682006,5,1,0.0,0,1,Dresses
526,3.5263605246161616,5,1,1.0,1,4,Blouses
528,3.4339872044851463,3,1,0.0,0,3,Others
529,3.8501476017100584,5,1,1.0,0,1,Dresses
530,4.110873864173311,5,1,0.0,0,3,Others
531,3.9512437185814275,5,1,1.0,0,4,Blouses
532,4.02535169073515,3,1,0.0,0,4,Blouses
534,3.6635616461296463,5,1,0.0,0,4,Blouses
535,3.6888794541139363,4,1,0.0,1,1,Dresses
537,3.8066624897703196,5,1,1.0,0,4,Blouses
538,3.332204510175204,4,1,0.0,0,4,Blouses
539,3.4965075614664802,5,1,0.0,0,1,Dresses
540,4.2626798770413155,5,1,0.0,0,1,Dresses
543,3.58351893845611,4,1,1.4142135623730951,0,1,Dresses
544,3.5553480614894135,5,1,0.0,0,1,Dresses
545,4.060443010546419,5,1,2.449489742783178,0,3,Others
546,3.970291913552122,5,1,1.4142135623730951,0,1,Dresses
547,4.1588830833596715,5,1,5.656854249492381,0,3,Others
548,3.8066624897703196,3,0,0.0,0,4,Blouses
549,3.784189633918261,5,1,0.0,0,4,Blouses
550,3.9512437185814275,3,0,1.4142135623730951,0,1,Dresses
553,4.02535169073515,4,1,0.0,0,4,Blouses
555,3.5553480614894135,5,1,0.0,0,3,Others
556,3.6375861597263857,4,1,0.0,0,4,Blouses
557,3.4657359027997265,4,1,0.0,0,1,Dresses
559,3.4657359027997265,4,1,0.0,0,4,Blouses
560,3.5553480614894135,5,1,1.4142135623730951,0,1,Dresses
561,3.5263605246161616,5,1,0.0,0,1,Dresses
563,3.58351893845611,4,1,1.0,0,1,Dresses
564,3.6888794541139363,5,1,0.0,0,0,Pants
566,3.713572066704308,4,1,0.0,1,0,Others
567,3.4965075614664802,5,1,1.4142135623730951,0,4,Knits
568,3.4965075614664802,4,1,1.7320508075688772,0,4,Knits
569,3.6635616461296463,5,1,1.7320508075688772,0,4,Blouses
570,3.9889840465642745,4,1,2.0,1,0,Others
573,3.1780538303479458,5,1,0.0,0,4,Blouses
575,4.1588830833596715,5,1,5.477225575051661,0,1,Dresses
576,3.6888794541139363,5,1,1.0,0,4,Blouses
577,3.6635616461296463,4,1,0.0,0,0,Others
578,3.7376696182833684,3,0,1.7320508075688772,0,1,Dresses
579,3.5263605246161616,2,0,1.4142135623730951,0,4,Knits
581,3.367295829986474,2,0,1.7320508075688772,0,4,Knits
582,3.8918202981106265,3,0,1.0,0,4,Blouses
583,3.6635616461296463,3,0,0.0,0,0,Pants
584,3.871201010907891,4,1,1.4142135623730951,0,1,Dresses
585,4.189654742026425,5,1,1.4142135623730951,0,4,Blouses
586,3.2188758248682006,4,1,0.0,0,1,Dresses
587,3.58351893845611,4,1,0.0,0,1,Dresses
588,3.828641396489095,2,0,1.0,0,4,Knits
590,3.7376696182833684,5,1,1.0,0,4,Blouses
591,3.258096538021482,4,1,1.0,0,4,Blouses
592,3.4965075614664802,5,1,1.4142135623730951,0,4,Blouses
593,3.9512437185814275,5,1,0.0,0,4,Blouses
594,3.713572066704308,5,1,0.0,0,4,Blouses
595,3.2188758248682006,5,1,0.0,0,0,Pants
596,3.8501476017100584,3,1,0.0,0,0,Others
597,3.1780538303479458,4,1,0.0,0,4,Blouses
599,3.784189633918261,4,1,1.0,0,0,Pants
600,4.189654742026425,5,1,1.4142135623730951,0,4,Knits
601,4.1588830833596715,5,1,1.0,0,4,Blouses
602,3.6635616461296463,5,1,0.0,1,1,Dresses
603,3.7376696182833684,1,0,1.0,0,0,Others
604,3.5553480614894135,5,1,0.0,0,4,Blouses
605,4.07753744390572,5,1,0.0,0,1,Dresses
606,4.1588830833596715,3,1,1.0,0,1,Dresses
607,3.6888794541139363,4,1,3.3166247903554,0,4,Blouses
608,3.091042453358316,4,1,1.0,0,0,Others
609,3.970291913552122,3,0,2.0,0,1,Dresses
610,3.5263605246161616,2,0,1.0,0,0,Others
